shot,dda,alpha_crit
79565, T001/pbohm        , 4.84118
79566, T001/pbohm        , 4.88463
79567, T001/pbohm        , 4.78715
79568, T001/pbohm        , 4.76489
79569, T001/pbohm        , 4.87663
79569, T002/pbohm        , 4.82589
79571, T001/pbohm        , 4.69287
79571, T002/pbohm        , 4.64386
79572, T001/pbohm        , 4.39136
81794, T001/lfrassin     , 3.45081
81795, T001/lfrassin     , 3.39357
81798, T001/lfrassin     , 3.41674
81803, T001/lfrassin     , 3.54845
81818, T005/lfrassin     , 3.47744
81819, T005/lfrassin     , 3.45995
81822, T005/lfrassin     , 3.38745
81824, T001/rfrid        , 3.47650
81824, T002/rfrid        , 3.80812
81826, T001/rfrid        , 3.53115
81996, T005/lfrassin     ,-1.00000
81996, T002/rfrid        , 3.31929
81997, T001/rfrid        , 3.34371
81998, T001/rfrid        , 3.14827
81999, T007/lfrassin     , 3.08624
82198, T003/lfrassin     , 3.51710
82436, T034/lfrassin     , 3.60938
82447, T001/rfrid        , 3.77631
82486, T001/rfrid        , 3.63591
82488, T002/rfrid        , 3.73173
82630, T001/rfrid        , 3.58692
82633, T057/lfrassin     , 3.32584
82633, T058/lfrassin     , 3.20163
82638, T002/pbilkova     , 3.49538
82641, T006/lfrassin     , 3.73720
82670, T002/pbilkova     , 3.58105
82847, T001/pbilkova     , 3.81908
82849, T001/pbilkova     , 3.79878
82850, T001/pbilkova     , 3.79300
82854, T001/pbilkova     , 3.76612
82855, T002/lfrassin     , 3.81454
82883, T001/lfrassin     , 3.95187
84693, T002/pbilkova     , 3.66813
84824, T001/pbilkova     , 2.87028
84825, T004/lfrassin     , 3.05920
84828, T002/pbilkova     , 3.69007
84828, T003/pbilkova     , 2.54999
84830, T002/pbilkova     , 2.93379
85359, T001/pbilkova     , 3.47879
85360, T006/lfrassin     , 3.54695
